keyword;minimal_abbreviation;keyword_type
EDIT-CLEAR;;Method
EDIT-COPY;;Method
EDIT-CUT;;Method
EDITOR;;Widget
EDIT-PASTE;;Method
EDIT-UNDO;;Method
EMPTY;;Attribute
EMPTY-DATASET;;Method
EMPTY-TEMP-TABLE;;Method
ENABLE;;Method
ENABLE-CONNECTIONS;;Method
ENABLED;;Attribute
ENABLE-EVENTS;;Method
ENCODE-DOMAIN-ACCESS-CODE;;Method
ENCODING;;Attribute
ENCRYPT-AUDIT-MAC-KEY;;Method
ENCRYPTION-SALT;;Attribute
END-DOCUMENT;;Method
END-ELEMENT;;Method
END-EVENT-GROUP;;Method
END-FILE-DROP;;Method
END-USER-PROMPT;;Attribute
ENTITY-EXPANSION-LIMIT;;Attribute
ENTRY;;Method
ENTRY-TYPES-LIST;;Attribute
EQ;;Operator
ERROR;;Attribute
ERROR-COLUMN;;Attribute
ERROR-OBJECT;;Attribute
ERROR-OBJECT-DETAIL;;Attribute
ERROR-ROW;;Attribute
ERROR-STACK-TRACE;;Attribute
ERROR-STRING;;Attribute
ESC;;Keyboard
EVENT-GROUP-ID;;Attribute
EVENT-HANDLER;;Attribute
EVENT-HANDLER-OBJECT;;Attribute
EVENT-PROCEDURE;;Attribute
EVENT-PROCEDURE-CONTEXT;;Attribute
EVENT-TYPE;;Attribute
EXCLUSIVE-ID;;Attribute
EXECUTION-LOG;;Attribute
EXIT-CODE;;Attribute
EXPAND;;Attribute
EXPANDABLE;;Attribute
EXPORT;;Method
EXPORT-PRINCIPAL;;Method
EXTENT;;Attribute
F1;;Keyboard
F10;;Keyboard
F11;;Keyboard
F12;;Keyboard
F2;;Keyboard
F3;;Keyboard
F4;;Keyboard
F5;;Keyboard
F6;;Keyboard
F7;;Keyboard
F8;;Keyboard
F9;;Keyboard
FETCH-SELECTED-ROW;;Method
FGCOLOR;;Attribute
FIELD-GROUP;;Widget
FILE-CREATE-DATE;;Attribute
FILE-CREATE-TIME;;Attribute
FILE-MOD-DATE;;Attribute
FILE-MOD-TIME;;Attribute
FILE-NAME;;Attribute
FILE-OFFSET;;Attribute
FILE-SIZE;;Attribute
FILE-TYPE;;Attribute
FILL;;Method
FILLED;;Attribute
FILL-IN;;Widget
FILL-MODE;;Attribute
FILL-WHERE-STRING;;Attribute
FIND-BY-ROWID;;Method
FIND-CURRENT;;Method
FIND-FIRST;;Method
FIND-LAST;;Method
FIND-UNIQUE;;Method
FIRST-ASYNC-REQUEST;;Attribute
FIRST-BUFFER;;Attribute
FIRST-CHILD;;Attribute
FIRST-COLUMN;;Attribute
FIRST-DATASET;;Attribute
FIRST-DATA-SOURCE;;Attribute
FIRST-FORM;;Attribute
FIRST-OBJECT;;Attribute
FIRST-OF;;Method
FIRST-PROCEDURE;;Attribute
FIRST-QUERY;;Attribute
FIRST-SERVER;;Attribute
FIRST-SERVER-SOCKET;;Attribute
FIRST-SOCKET;;Attribute
FIRST-TAB-ITEM;;Attribute
FIT-LAST-COLUMN;;Attribute
FLAT-BUTTON;;Attribute
FLOAT;;DataType
FOCUSED-ROW;;Attribute
FOCUSED-ROW-SELECTED;;Attribute
FONT;;Attribute
FOREGROUND;;Attribute
FOREIGN-KEY-HIDDEN;;Attribute
FORMAT;;Attribute
FORMATTED;;Attribute
FORM-INPUT;;Attribute
FORM-LONG-INPUT;;Attribute
FORWARD-ONLY;;Attribute
FRAGMENT;;Attribute
FRAME;;Attribute
FRAME;FRAM;Widget
FRAME-COL;;Attribute
FRAME-NAME;;Attribute
FRAME-ROW;;Attribute
FRAME-SPACING;;Attribute
FRAME-X;;Attribute
FRAME-Y;;Attribute
FREQUENCY;;Attribute
FULL-HEIGHT-CHARS;;Attribute
FULL-HEIGHT-PIXELS;;Attribute
FULL-PATHNAME;;Attribute
FULL-WIDTH-CHARS;;Attribute
FULL-WIDTH-PIXELS;;Attribute
FUNCTION;;Attribute
GE;;Operator
GET-ATTRIBUTE;;Method
GET-ATTRIBUTE-NODE;;Method
GET-BINARY-DATA;;Method
GET-BLUE-VALUE;;Method
GET-BROWSE-COLUMN;;Method
GET-BUFFER-HANDLE;;Method
GET-BYTES-AVAILABLE;;Method
GET-CALLBACK-PROC-CONTEXT;;Method
GET-CALLBACK-PROC-NAME;;Method
GET-CGI-LIST;;Method
GET-CGI-LONG-VALUE;;Method
GET-CGI-VALUE;;Method
GET-CHANGES;;Method
GET-CHILD;;Method
GET-CHILD-RELATION;;Method
GET-CLIENT;;Method
GET-COLUMN;;Method
GET-CONFIG-VALUE;;Method
GET-CURRENT;;Method
GET-DATASET-BUFFER;;Method
GET-DOCUMENT-ELEMENT;;Method
GET-DROPPED-FILE;;Method
GET-DYNAMIC;;Method
GET-ERROR-COLUMN;;Method
GET-ERROR-ROW;;Method
GET-FILE-NAME;;Method
GET-FILE-OFFSET;;Method
GET-FIRST;;Method
GET-GREEN-VALUE;;Method
GET-HEADER-ENTRY;;Method
GET-INDEX-BY-NAMESPACE-NAME;;Method
GET-INDEX-BY-QNAME;;Method
GET-ITERATION;;Method
GET-LAST;;Method
GET-LOCALNAME-BY-INDEX;;Method
GET-MESSAGE;;Method
GET-MESSAGE-TYPE;;Method
GET-NEXT;;Method
GET-NODE;;Method
GET-NUMBER;;Method
GET-PARENT;;Method
GET-PREV;;Method
GET-PRINTERS;;Method
GET-PROPERTY;;Method
GET-QNAME-BY-INDEX;;Method
GET-RED-VALUE;;Method
GET-RELATION;;Method
